tenis_marca,tenis_estilo,tenis_cores,tenis_preco,idade,genero,estado_civil,compatibilidade
Asics,Basketball,"[""Rosa""]",962.73,42,F,Viúvo,0.54
Converse,Social,"[""Verde""]",1046.16,44,F,Casado,0.6
Vans,Social,"[""Cinza""]",800.5,55,F,Divorciado,0.44
New Balance,Vintage,"[""Vermelho""]",114.55,23,M,Casado,0.49
Reebok,Basketball,"[""Azul""]",1083.92,22,F,Casado,0.78
Vans,Basketball,"[""Roxo"", ""Rosa""]",1026.03,39,F,Divorciado,0.57
Puma,Basketball,"[""Vermelho""]",1129.33,50,F,Casado,0.55
Vans,Basketball,"[""Cinza"", ""Azul""]",319.18,31,M,Solteiro,0.29
Vans,Casual,"[""Preto""]",929.98,29,M,Divorciado,0.79
Asics,Streetwear,"[""Roxo"", ""Roxo""]",185.18,45,F,Viúvo,0.59
New Balance,Esportivo,"[""Laranja"", ""Cinza""]",1126.34,33,M,Divorciado,0.38
Asics,Casual,"[""Preto""]",1106.79,23,M,Solteiro,0.46
Vans,Basketball,"[""Roxo""]",1148.47,27,M,Solteiro,0.62
Adidas,Running,"[""Vermelho"", ""Preto""]",345.79,25,F,Viúvo,0.6
Nike,Running,"[""Cinza""]",172.38,25,M,Casado,0.48
Puma,Casual,"[""Azul"", ""Preto""]",839.03,59,F,Solteiro,0.9
New Balance,Esportivo,"[""Branco""]",864.14,31,M,Casado,0.5
Converse,Streetwear,"[""Preto""]",167.11,43,F,Viúvo,0.6
Puma,Streetwear,"[""Azul"", ""Cinza""]",451.21,59,F,Divorciado,0.56
Reebok,Running,"[""Amarelo""]",272.21,41,M,Solteiro,0.49
Adidas,Streetwear,"[""Amarelo""]",617.98,40,F,Viúvo,0.86
Nike,Skate,"[""Rosa""]",376.34,40,M,Divorciado,0.5
Adidas,Casual,"[""Azul"", ""Preto""]",689.78,56,M,Casado,0.96
Asics,Esportivo,"[""Amarelo"", ""Preto""]",291.5,55,F,Solteiro,0.44
Converse,Vintage,"[""Rosa""]",594.14,58,F,Solteiro,0.45
New Balance,Running,"[""Amarelo"", ""Branco""]",862.18,26,F,Divorciado,0.65
Converse,Basketball,"[""Cinza""]",502.25,59,M,Casado,0.66
Puma,Skate,"[""Amarelo""]",798.35,42,F,Viúvo,0.6
Converse,Vintage,"[""Preto""]",818.74,42,Outro,Solteiro,0.65
Nike,Social,"[""Rosa""]",281.61,47,M,Casado,0.7
Asics,Vintage,"[""Branco""]",260.8,24,M,Viúvo,0.53
New Balance,Social,"[""Rosa"", ""Roxo""]",382.02,59,M,Solteiro,0.54
Adidas,Casual,"[""Preto""]",815.2,33,Outro,Solteiro,0.61
Reebok,Basketball,"[""Azul""]",355.46,20,M,Solteiro,0.63
Puma,Casual,"[""Laranja""]",255.91,59,F,Viúvo,0.78
Adidas,Skate,"[""Amarelo"", ""Cinza""]",233.97,42,F,Viúvo,0.46
Puma,Esportivo,"[""Cinza"", ""Roxo""]",164.31,23,F,Solteiro,0.53
Asics,Basketball,"[""Preto""]",1062.52,40,F,Casado,0.46
New Balance,Basketball,"[""Laranja"", ""Cinza""]",1043.54,47,F,Solteiro,0.39
Reebok,Casual,"[""Amarelo""]",449.93,24,M,Viúvo,0.68
Reebok,Esportivo,"[""Laranja""]",171.9,59,M,Divorciado,0.38
Vans,Casual,"[""Verde"", ""Laranja""]",369.23,21,F,Solteiro,0.34
Reebok,Running,"[""Roxo"", ""Vermelho""]",419.62,58,M,Viúvo,0.56
Vans,Streetwear,"[""Azul"", ""Cinza""]",962.62,18,M,Solteiro,0.52
Nike,Esportivo,"[""Laranja""]",716.38,35,Outro,Divorciado,0.76
Adidas,Basketball,"[""Roxo""]",753.26,42,M,Viúvo,0.55
Nike,Casual,"[""Cinza"", ""Verde""]",673.57,19,F,Casado,0.79
Reebok,Vintage,"[""Verde""]",921.33,56,M,Casado,0.71
Asics,Casual,"[""Verde""]",497.72,34,M,Divorciado,0.32
Asics,Streetwear,"[""Roxo"", ""Preto""]",1175.6,52,F,Viúvo,0.5
Converse,Skate,"[""Vermelho""]",1034.64,53,M,Viúvo,0.45
Nike,Streetwear,"[""Branco""]",1127.02,32,Outro,Viúvo,0.99
Puma,Streetwear,"[""Preto""]",166.4,23,Outro,Casado,0.42
Converse,Casual,"[""Branco"", ""Verde""]",1148.12,19,M,Solteiro,0.63
Reebok,Streetwear,"[""Cinza"", ""Azul""]",810.94,33,M,Solteiro,0.55
New Balance,Running,"[""Cinza""]",743.58,32,F,Solteiro,0.62
Puma,Streetwear,"[""Rosa"", ""Roxo""]",112.99,41,M,Solteiro,0.56
New Balance,Running,"[""Preto"", ""Azul""]",937.67,31,M,Viúvo,0.57
Vans,Streetwear,"[""Cinza""]",1101.13,44,M,Solteiro,0.6
Nike,Streetwear,"[""Preto"", ""Rosa""]",578.62,58,M,Casado,0.63
Adidas,Esportivo,"[""Vermelho"", ""Laranja""]",543.54,45,M,Casado,0.7
Adidas,Running,"[""Laranja""]",186.96,55,F,Viúvo,0.61
Vans,Esportivo,"[""Branco"", ""Rosa""]",688.15,26,M,Divorciado,0.65
Nike,Skate,"[""Amarelo"", ""Branco""]",1107.03,20,F,Divorciado,0.61
Reebok,Esportivo,"[""Azul"", ""Rosa""]",452.91,50,M,Solteiro,0.54
Adidas,Vintage,"[""Azul""]",932.7,29,M,Casado,0.82
Nike,Casual,"[""Preto""]",602.81,49,F,Viúvo,0.65
Vans,Skate,"[""Rosa"", ""Laranja""]",148.92,52,F,Viúvo,0.21
New Balance,Vintage,"[""Cinza""]",515.78,59,F,Viúvo,0.68
Puma,Skate,"[""Preto"", ""Cinza""]",1004.31,39,F,Casado,0.59
Asics,Social,"[""Cinza"", ""Laranja""]",184.16,41,F,Solteiro,0.51
Asics,Esportivo,"[""Branco"", ""Preto""]",596.85,57,M,Divorciado,0.71
Vans,Streetwear,"[""Branco""]",517.37,46,F,Viúvo,0.42
Reebok,Streetwear,"[""Rosa""]",100.28,47,M,Viúvo,0.74
Vans,Esportivo,"[""Laranja"", ""Rosa""]",987.16,53,M,Divorciado,0.64
